Cygwin Package Information
Package                                 Version                Status
libcrypt-devel                          1.1-1                  OK
libcrypt0                               1.1-1                  OK
libcurl-devel                           7.47.0-2               OK
libcurl4                                7.47.0-2               OK
libdatrie1                              0.2.8-1                OK
libdb-devel                             5.3.21-1               OK
libdb5.3                                5.3.21-1               OK
libdbus1_3                              1.8.16-1               OK
libdca0                                 0.0.5-10               OK
libdvdnav4                              5.0.3-1                OK
libdvdread4                             5.0.3-1                OK
libedit-devel                           20130712-1             OK
libedit0                                20130712-1             OK
libEGL1                                 11.0.9-1               OK
libEMF1                                 1.0.7-1                OK
libevent2.0_5                           2.0.22-1               OK
libexpat1                               2.1.0-3                OK
libfaad2                                2.7-10                 OK
libfam0                                 0.1.10-15              OK
libffi6                                 3.2.1-2                OK
libfftw3_3                              3.3.4-2                OK
libFLAC8                                1.3.1-1                OK
libfontconfig1                          2.11.1-3               OK
libfontenc1                             1.1.3-1                OK
libfpx1                                 1.3.1.4-1              OK
libfreetype6                            2.5.5-2                OK
libfribidi0                             0.19.2-1               OK
libgcc1                                 4.9.3-1                OK
libgd2                                  2.0.36RC1-1            OK
libgd3                                  2.1.1-1                OK
libgdbm4                                1.11-1                 OK
libgdk_pixbuf2.0_0                      2.32.2-1               OK
libgettextpo0                           0.19.5.1-2             OK
libgif4                                 4.1.6-12               OK
libGL-devel                             11.0.9-1               OK
libGL1                                  11.0.9-1               OK
libglapi0                               11.0.9-1               OK
libglib2.0_0                            2.46.2-2               OK
libGLU-devel                            9.0.0-1                OK
libGLU1                                 9.0.0-1                OK
libgmp10                                6.1.0-3p1              OK
libgnutls28                             3.3.17-1               OK
libgomp1                                4.9.3-1                OK
libgraphite2_3                          1.2.3-1                OK
libgs9                                  9.15-2                 OK
libgsm1                                 1.0.13-3               OK
libgssapi3                              1.5.3-1                OK
libgssapi_krb5_2                        1.13.2-4               OK
libgssrpc4                              1.13.2-4               OK
libgstinterfaces0.10_0                  0.10.36-3              OK
libgstinterfaces1.0_0                   1.6.1-1                OK
libgstreamer0.10_0                      0.10.36-2              OK
libgstreamer1.0_0                       1.6.1-1                OK
libgtk2.0_0                             2.24.29-1              OK
libguile17                              1.8.8-1                OK
libharfbuzz0                            1.0.6-1                OK
libhdb9                                 1.5.3-1                OK
libheimbase1                            1.5.3-1                OK
libheimntlm0                            1.5.3-1                OK
libhogweed2                             2.7-2                  OK
libhx509_5                              1.5.3-1                OK
libICE6                                 1.0.9-1                OK
libiconv                                1.14-3                 OK
libiconv-devel                          1.14-3                 OK
libiconv2                               1.14-3                 OK
libicu-devel                            56.1-1                 OK
libicu51                                51.2-1                 OK
libicu55                                55.1-1                 OK
libicu56                                56.1-1                 OK
libidn-devel                            1.29-1                 OK
libidn11                                1.29-1                 OK
libilbc1                                1.1.1-1                OK
libilmbase12                            2.2.0-1                OK
libilmbase7                             1.0.3-1                OK
libIlmImf22                             2.2.0-1                OK
libIlmImf7                              1.7.1-1                OK
libintl-devel                           0.19.5.1-2             OK
libintl8                                0.19.5.1-2             OK
libiodbc-devel                          3.52.8-2               OK
libiodbc2                               3.52.8-2               OK
libisl10                                0.11.1-2               OK
libisl13                                0.14.1-1               OK
libiso9660_10                           0.93-2                 OK
libiso9660_8                            0.90-1                 OK
libjasper1                              1.900.1-15             OK
libjbig2                                2.0-14                 OK
libjpeg-devel                           1.4.2-1                OK
libjpeg8                                1.4.2-1                OK
libjson-c-common                        0.12-1                 OK
libjson-c2                              0.12-1                 OK
libk5crypto3                            1.13.2-4               OK
libkadm5clnt7                           1.5.3-1                OK
libkadm5clnt_mit9                       1.13.2-4               OK
libkadm5srv8                            1.5.3-1                OK
libkadm5srv_mit9                        1.13.2-4               OK
libkafs0                                1.5.3-1                OK
libkdb5_7                               1.12.2-1               OK
libkdb5_8                               1.13.2-4               OK
libkdc2                                 1.5.3-1                OK
libkrad0                                1.13.2-4               OK
libkrb5-devel                           1.13.2-4               OK
libkrb5_26                              1.5.3-1                OK
libkrb5_3                               1.13.2-4               OK
libkrb5support0                         1.13.2-4               OK
liblcms1                                1.19-5                 OK
liblcms2_2                              2.6-1                  OK
libllvm3.5                              3.5.2-1                OK
libltdl7                                2.4.6-2                OK
liblzma5                                5.2.2-1                OK
liblzo2_2                               2.08-1                 OK
libmad0                                 0.15.1b-10             OK
libMagickC++6_5                         6.9.0.0-4              OK
libMagickCore5                          6.7.6.3-4              OK
libMagickCore6_2                        6.9.1.3-3              OK
libMagickWand6_2                        6.9.1.3-3              OK
libmetalink3                            0.1.2-1                OK
libming1                                0.4.7-1                OK
libmng1                                 1.0.10-1               OK
libmodplug1                             0.8.8.5-2              OK
libmp3lame0                             3.99.5-1               OK
libmpc3                                 1.0.3-1                OK
libmpcdec7                              475-1                  OK
libmpfr4                                3.1.3-1                OK
libncurses-devel                        6.0-2.20160123         OK
libncursesw-devel                       6.0-2.20160123         OK
libncursesw10                           6.0-2.20160123         OK
libnettle4                              2.7-2                  OK
libnghttp2_14                           1.6.0-1                OK
libogg0                                 1.3.1-1                OK
libopenal1                              1.15.1-1               OK
libopencore-amrnb0                      0.1.3-1                OK
libopencore-amrwb0                      0.1.3-1                OK
libopencv2.4                            2.4.11-1               OK
libopenjpeg1                            1.5.2-2                OK
libopenldap2_4_2                        2.4.42-1               OK
libopenssl100                           1.0.2f-1               OK
libopus0                                1.0.3-1                OK
liborc0.4_0                             0.4.23-1               OK
libotp0                                 1.5.3-1                OK
libp11-kit0                             0.22.1-1               OK
libpango1.0_0                           1.38.1-1               OK
libpaper-common                         1.1.24-2               OK
libpaper1                               1.1.24-2               OK
libpcre1                                8.38-1                 OK
libpipeline1                            1.4.0-1                OK
libpixman1-devel                        0.32.8-1               OK
libpixman1_0                            0.32.8-1               OK
libplotter2                             2.6-4                  OK
libpng15                                1.5.22-1               OK
libpng16                                1.6.20-1               OK
libpopt0                                1.16-1                 OK
libportaudio2                           19.20140130-1          OK
libpostproc52                           1.2.3-1                OK
libpstoedit0                            3.70-1                 OK
libpulse-simple0                        7.1-1                  OK
libpulse0                               7.1-1                  OK
libquadmath0                            4.9.3-1                OK
libreadline7                            6.3.8-1                OK
libroken18                              1.5.3-1                OK
librsvg2_2                              2.40.11-1              OK
